Date, Life Expectancy, % change
1950-12-31,57.232,,
1951-12-31,57.628,0.69,
1952-12-31,58.024,0.69,
1953-12-31,58.42,0.68,
1954-12-31,58.816,0.68,
1955-12-31,59.212,0.67,
1956-12-31,59.608,0.67,
1957-12-31,60.004,0.66,
1958-12-31,60.4,0.66,
1959-12-31,60.626,0.37,
1960-12-31,60.852,0.37,
1961-12-31,61.078,0.37,
1962-12-31,61.304,0.37,
1963-12-31,61.53,0.37,
1964-12-31,61.75,0.36,
1965-12-31,61.97,0.36,
1966-12-31,62.19,0.36,
1967-12-31,62.41,0.35,
1968-12-31,62.63,0.35,
1969-12-31,62.812,0.29,
1970-12-31,62.994,0.29,
1971-12-31,63.176,0.29,
1972-12-31,63.358,0.29,
1973-12-31,63.54,0.29,
1974-12-31,63.62,0.13,
1975-12-31,63.7,0.13,
1976-12-31,63.78,0.13,
1977-12-31,63.86,0.13,
1978-12-31,63.94,0.13,
1979-12-31,64.038,0.15,
1980-12-31,64.136,0.15,
1981-12-31,64.234,0.15,
1982-12-31,64.332,0.15,
1983-12-31,64.43,0.15,
1984-12-31,64.59,0.25,
1985-12-31,64.75,0.25,
1986-12-31,64.91,0.25,
1987-12-31,65.07,0.25,
1988-12-31,65.23,0.25,
1989-12-31,65.094,-0.21,
1990-12-31,64.958,-0.21,
1991-12-31,64.822,-0.21,
1992-12-31,64.686,-0.21,
1993-12-31,64.55,-0.21,
1994-12-31,64.89,0.53,
1995-12-31,65.23,0.52,
1996-12-31,65.57,0.52,
1997-12-31,65.91,0.52,
1998-12-31,66.25,0.52,
1999-12-31,66.488,0.36,
2000-12-31,66.726,0.36,
2001-12-31,66.964,0.36,
2002-12-31,67.202,0.36,
2003-12-31,67.44,0.35,
2004-12-31,67.97,0.79,
2005-12-31,68.5,0.78,
2006-12-31,69.03,0.77,
2007-12-31,69.56,0.77,
2008-12-31,70.09,0.76,
2009-12-31,70.386,0.42,
2010-12-31,70.682,0.42,
2011-12-31,70.978,0.42,
2012-12-31,71.274,0.42,
2013-12-31,71.57,0.42,
2014-12-31,71.818,0.35,
2015-12-31,72.066,0.35,
2016-12-31,72.314,0.34,
2017-12-31,72.562,0.34,
2018-12-31,72.81,0.34,
2019-12-31,72.914,0.14,
2020-12-31,73.018,0.14,
2021-12-31,73.122,0.14,
2022-12-31,73.226,0.14,
2023-12-31,73.33,0.14,
2024-12-31,73.438,0.15,
2025-12-31,73.546,0.15,
2026-12-31,73.654,0.15,
2027-12-31,73.762,0.15,
2028-12-31,73.87,0.15,
2029-12-31,73.98,0.15,
2030-12-31,74.09,0.15,
2031-12-31,74.2,0.15,
2032-12-31,74.31,0.15,
2033-12-31,74.42,0.15,
2034-12-31,74.538,0.16,
2035-12-31,74.656,0.16,
2036-12-31,74.774,0.16,
2037-12-31,74.892,0.16,
2038-12-31,75.01,0.16,
2039-12-31,75.128,0.16,
2040-12-31,75.246,0.16,
2041-12-31,75.364,0.16,
2042-12-31,75.482,0.16,
2043-12-31,75.6,0.16,
2044-12-31,75.718,0.16,
2045-12-31,75.836,0.16,
2046-12-31,75.954,0.16,
2047-12-31,76.072,0.16,
2048-12-31,76.19,0.16,
2049-12-31,76.31,0.16,
2050-12-31,76.43,0.16,
2051-12-31,76.55,0.16,
2052-12-31,76.67,0.16,
2053-12-31,76.79,0.16,
2054-12-31,76.912,0.16,
2055-12-31,77.034,0.16,
2056-12-31,77.156,0.16,
2057-12-31,77.278,0.16,
2058-12-31,77.4,0.16,
2059-12-31,77.526,0.16,
2060-12-31,77.652,0.16,
2061-12-31,77.778,0.16,
2062-12-31,77.904,0.16,
2063-12-31,78.03,0.16,
2064-12-31,78.158,0.16,
2065-12-31,78.286,0.16,
2066-12-31,78.414,0.16,
2067-12-31,78.542,0.16,
2068-12-31,78.67,0.16,
2069-12-31,78.798,0.16,
2070-12-31,78.926,0.16,
2071-12-31,79.054,0.16,
2072-12-31,79.182,0.16,
2073-12-31,79.31,0.16,
2074-12-31,79.444,0.17,
2075-12-31,79.578,0.17,
2076-12-31,79.712,0.17,
2077-12-31,79.846,0.17,
2078-12-31,79.98,0.17,
2079-12-31,80.118,0.17,
2080-12-31,80.256,0.17,
2081-12-31,80.394,0.17,
2082-12-31,80.532,0.17,
2083-12-31,80.67,0.17,
2084-12-31,80.81,0.17,
2085-12-31,80.95,0.17,
2086-12-31,81.09,0.17,
2087-12-31,81.23,0.17,
2088-12-31,81.37,0.17,
2089-12-31,81.508,0.17,
2090-12-31,81.646,0.17,
2091-12-31,81.784,0.17,
2092-12-31,81.922,0.17,
2093-12-31,82.06,0.17,
2094-12-31,82.196,0.17,
2095-12-31,82.332,0.17,
2096-12-31,82.468,0.17,
2097-12-31,82.604,0.16,
2098-12-31,82.74,0.16,
2099-12-31,82.876,0.16,
2100-12-31,83.012,0.16,
