"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
Date,Metric tones per capita,Kilotones of CO2
12/31/1990,19845.2,5.5799
12/31/1991,20689.6,5.7191
12/31/1992,10755.96,3.009
12/31/1993,4974.49,1.4388
12/31/1994,2707.87,0.8026
12/31/1995,3436.76,1.0343
12/31/1996,2481.91,0.7523
12/31/1997,3324.3,1.0162
12/31/1998,3492.5,1.0777
12/31/1999,3103,0.9679
12/31/2000,3561,1.1239
12/31/2001,3602,1.1496
12/31/2002,3118.7,1.0044
12/31/2003,3495.4,1.1334
12/31/2004,3763.8,1.2277
12/31/2005,4460.9,1.4639
12/31/2006,4489.2,1.4833
12/31/2007,5204.4,1.7323
12/31/2008,5685.5,1.9057
12/31/2009,4510.8,1.5217
12/31/2010,4336.6,1.4719
12/31/2011,4937.1,1.6856
12/31/2012,5716.5,1.9615
12/31/2013,5501.5,1.8962
12/31/2014,5479,1.8959
12/31/2015,5343.4,1.8563
12/31/2016,5066.7,1.768
12/31/2017,5371.3,1.8834
12/31/2018,5712.2,2.0138
12/31/2019,6195.6,2.1966
12/31/2020,6746.6,2.4047
