"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
Date,Metric tones per capita,Kilotones of CO2
12/31/1990,53483.7,7.454
12/31/1991,52059.4,7.1596
12/31/1992,63613.2,8.6173
12/31/1993,48052,6.4114
12/31/1994,33515.3,4.4119
12/31/1995,32474.9,4.2258
12/31/1996,27193.3,3.5029
12/31/1997,26489.6,3.3795
12/31/1998,26490.5,3.3477
12/31/1999,26122.2,3.2723
12/31/2000,27687.2,3.44
12/31/2001,26397.2,3.2544
12/31/2002,26177.6,3.2033
12/31/2003,28569.4,3.4696
12/31/2004,28311.9,3.4084
12/31/2005,30043.4,3.5801
12/31/2006,30488.4,3.5934
12/31/2007,27627.7,3.2195
12/31/2008,30447.6,3.4744
12/31/2009,25495.8,2.8496
12/31/2010,24311.9,2.6851
12/31/2011,27282.1,2.9741
12/31/2012,30110.6,3.2392
12/31/2013,30939.6,3.2856
12/31/2014,32243.4,3.3816
12/31/2015,31773.3,3.2928
12/31/2016,32239.4,3.304
12/31/2017,31957,3.243
12/31/2018,32728.1,3.2926
12/31/2019,35521,3.5435
12/31/2020,34305,3.3988
