Date, GDP (Billions of US $), Per Capita (US $), Annual % Change
2000-12-31,19,2.95,
2001-12-31,19,2.77,
2002-12-31,20,2.73,
2003-12-31,23,2.73,
2004-12-31,27,2.66,
2005-12-31,34,2.23,
2006-12-31,50,2.07,
2007-12-31,74,1.99,
2008-12-31,111,2.05,
2009-12-31,134,2.77,
2010-12-31,152,2.65,
2011-12-31,183,2.6,
2012-12-31,232,3.16,
2013-12-31,249,3.23,
2014-12-31,277,3.59,
2015-12-31,234,4.34,
2016-12-31,168,4.42,
2017-12-31,165,4.07,
2018-12-31,178,3.84,
2019-12-31,197,4.18,
2020-12-31,243,5.85,
2021-12-31,249,4.7,
