Index,Type,Variant,Region,Notes,Location code,ISO3_Alpha_code,ISO2_Alpha_code,SDMX_code,Parent_code,Year,Population_1_Jan,Population_1_July,Male_Population_1_July,Female_Population_1_July,Population_Density_1_July,Population_Sex_Ratio,Median_Age_1_July,Natural_Change,Rate_of_Natural_Change,Population_Change,Population_Growth_Rate,Population_Annual_Doubling_Time,Births,Births_by_women_aged_15_to_19,Crude_Birth_Rate,Total_Fertility_Rate,Net_Reproduction_Rate,Mean_Age_Childbearing,Sex_Ratio_at_Birth,Total_Deaths,Male_Deaths,Female_Deaths,Crude_Death_Rate,Life_Expectancy_at_Birth,Male_Life_Expectancy_at_Birth,Female_Life_Expectancy_at_Birth,Life_Expectancy_at_Age_15,Male_Life_Expectancy_at_Age_15,Female_Life_Expectancy_at_Age_15,Life_Expectancy_at_Age_65,Male_Life_Expectancy_at_Age_65,Female_Life_Expectancy_at_Age_65,Life_Expectancy_at_Age_80,Male_Life_Expectancy_at_Age_80,Female_Life_Expectancy_at_Age_80,Infant_Deaths,Infant_Mortality_Rate,Live_Births_Surviving_to_Age_1,Under_Five_Deaths,Under_Five_Mortality,Mortality_before_Age_40,Male_Mortality_before_Age_40,Female_Mortality_before_Age_40,Mortality_before_Age_60,Male_Mortality_before_Age_60,Female_Mortality_before_Age_60,Mortality_between_Age_15_and_50,Male_Mortality_between_Age_15_and_50,Female_Mortality_between_Age_15_and_50,Mortality_between_Age_15_and_60,Male_Mortality_between_Age_15_and_60,Female_Mortality_between_Age_15_and_60,Net_Number_of_Migrants,Net_Migration_Rate
1,World,Estimates,World,,900,,,1,0,1950, 2 471 424, 2 493 093, 1 241 432, 1 251 661,19.1,99.2,22.2,  43 337,17.4,  43 338,1.74,39.9,  91 824,  10 492,36.8,4.85,1.63,28.9,105,  48 487,  25 664,  22 823,19.4,46.4,44.5,48.4,47.2,45,49.5,11.4,10.5,12.1,5.1,4.8,5.3,  12 546,138.1,"82,937.23",  19 962,227,374,391,356,540,581,497,239,269,208,375,426,323,0,0
2,World,Estimates,World,,900,,,1,0,1951, 2 514 762, 2 536 927, 1 263 362, 1 273 565,19.5,99.2,22.1,  44 331,17.5,  44 331,1.75,39.7,  92 507,  10 574,36.5,4.82,1.64,28.9,105,  48 176,  25 384,  22 792,19,47.1,45.3,49,47.6,45.6,49.8,11.4,10.6,12.2,5.1,4.8,5.3,  12 566,136,"83,687.57",  19 949,221,363,378,348,528,567,488,230,256,203,365,413,316,0,0
3,World,Estimates,World,,900,,,1,0,1952, 2 559 092, 2 584 086, 1 287 093, 1 296 993,19.8,99.2,22.1,  49 988,19.3,  49 988,1.94,35.8,  97 371,  11 034,37.7,5,1.73,28.9,105,  47 383,  24 850,  22 533,18.3,48.2,46.5,50,48.4,46.5,50.3,11.6,10.7,12.4,5.2,4.8,5.4,  12 731,132.7,"88,313.93",  19 955,214,348,360,337,511,546,475,217,239,196,351,393,307,0,0
4,World,Estimates,World,,900,,,1,0,1953, 2 609 080, 2 634 106, 1 312 355, 1 321 751,20.2,99.3,22,  50 052,19,  50 052,1.9,36.5,  97 291,  11 045,36.9,4.92,1.71,28.9,105,  47 240,  24 722,  22 518,17.9,48.8,47.2,50.5,48.7,46.9,50.5,11.7,10.8,12.4,5.2,4.8,5.4,  12 672,130.1,"88,412.17",  19 847,208,340,350,330,502,536,467,211,231,191,343,384,301,0,0
5,World,Estimates,World,,900,,,1,0,1954, 2 659 132, 2 685 895, 1 338 531, 1 347 364,20.6,99.3,21.9,  53 525,19.9,  53 525,1.99,34.8,  100 188,  11 302,37.3,5,1.76,28.9,105,  46 662,  24 408,  22 254,17.4,49.7,48,51.3,49.2,47.5,51,11.8,11,12.6,5.3,4.9,5.5,  12 693,127.7,"91,211.23",  19 813,203,330,339,320,489,522,456,203,221,185,332,372,293,0,0
6,World,Estimates,World,,900,,,1,0,1955, 2 712 658, 2 740 214, 1 365 979, 1 374 235,21,99.4,21.8,  55 112,20.1,  55 112,2.01,34.5,  101 748,  11 422,37.1,5,1.78,28.8,105,  46 636,  24 437,  22 199,17,50.2,48.5,51.9,49.4,47.6,51.3,11.9,10.9,12.7,5.3,4.9,5.5,  12 651,124.8,"92,832.93",  19 663,198,322,331,313,481,515,447,200,218,181,327,367,287,0,0
7,World,Estimates,World,,900,,,1,0,1956, 2 767 770, 2 795 410, 1 393 816, 1 401 594,21.4,99.4,21.7,  55 280,19.8,  55 280,1.98,35,  101 759,  11 426,36.4,4.93,1.77,28.8,105,  46 479,  24 353,  22 126,16.6,50.7,49,52.5,49.6,47.8,51.5,11.9,11,12.7,5.2,4.9,5.5,  12 415,121.9,"93,033.97",  19 318,192,315,324,305,474,507,440,196,214,178,323,363,283,0,0
8,World,Estimates,World,,900,,,1,0,1957, 2 823 050, 2 852 618, 1 422 614, 1 430 005,21.9,99.5,21.6,  59 137,20.7,  59 137,2.07,33.4,  106 018,  11 792,37.2,5.07,1.83,28.8,105,  46 881,  24 585,  22 296,16.4,51.1,49.3,52.8,49.7,47.9,51.6,11.9,11,12.8,5.3,4.9,5.6,  12 581,120,"97,066.83",  19 434,189,310,319,301,469,503,435,194,212,176,321,361,281,0,0
9,World,Estimates,World,,900,,,1,0,1958, 2 882 187, 2 911 250, 1 452 096, 1 459 154,22.3,99.5,21.5,  58 126,20,  58 126,2,34.7,  104 644,  11 674,35.9,4.93,1.8,28.7,105,  46 518,  24 414,  22 104,16,51.6,49.9,53.4,50.1,48.2,52,12.1,11.1,13,5.4,5,5.7,  12 379,117.7,"95,974.18",  19 125,184,304,313,295,462,496,427,191,209,173,315,355,275,0,0
10,World,Estimates,World,,900,,,1,0,1959, 2 940 313, 2 965 950, 1 479 589, 1 486 362,22.7,99.5,21.5,  51 275,17.3,  51 275,1.73,40.1,  102 000,  11 502,34.4,4.74,1.67,28.7,105,  50 725,  26 607,  24 117,17.1,49.6,47.8,51.4,49.3,47.3,51.3,11.9,10.8,12.8,5.3,4.9,5.6,  12 970,125.7,"92,970.83",  20 974,202,330,340,319,491,526,455,203,224,182,333,375,290,0,0
