"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
Date,Metric tones per capita,Kilotones of CO2
12/31/1990,33488.3,6.9738
12/31/1991,25505.9,5.2743
12/31/1992,20072.9,4.1188
12/31/1993,16093.7,3.277
12/31/1994,10443.86,2.1596
12/31/1995,8177.32,1.7556
12/31/1996,6363.3,1.4167
12/31/1997,5518.89,1.2687
12/31/1998,4990.37,1.176
12/31/1999,4522.2,1.0878
12/31/2000,4772.8,1.1706
12/31/2001,3516.2,0.8759
12/31/2002,2958.4,0.7436
12/31/2003,3157.2,0.7989
12/31/2004,3373.1,0.8589
12/31/2005,4243.1,1.0873
12/31/2006,4701.3,1.2116
12/31/2007,5626.6,1.4576
12/31/2008,4838.8,1.2573
12/31/2009,5624.3,1.4745
12/31/2010,5322.1,1.4055
12/31/2011,6521.8,1.7362
12/31/2012,7193,1.929
12/31/2013,8024,2.1583
12/31/2014,8654,2.3267
12/31/2015,9399.4,2.5231
12/31/2016,9813.6,2.6328
12/31/2017,9907.1,2.6575
12/31/2018,9725.2,2.6097
12/31/2019,10549.6,2.8358
12/31/2020,10255,2.7547
