DIM_TIME;DIM_TIME_TYPE;GEO_NAME_SHORT;RATE_PER_10000_N
1990;YEAR;Azerbaijan;108.98700000000000
1991;YEAR;Azerbaijan;110.12800000000000
1992;YEAR;Azerbaijan;106.20700000000000
1993;YEAR;Azerbaijan;106.87600000000000
1994;YEAR;Azerbaijan;103.55800000000000
1995;YEAR;Azerbaijan;100.06200000000000
1996;YEAR;Georgia;47.34400000000000
1996;YEAR;Azerbaijan;97.49900000000000
1997;YEAR;Georgia;49.33400000000000
1997;YEAR;Azerbaijan;93.25000000000000
1998;YEAR;Georgia;49.87800000000000
1998;YEAR;Azerbaijan;89.23800000000000
1999;YEAR;Georgia;50.70700000000000
1999;YEAR;Azerbaijan;88.27700000000000
2000;YEAR;Armenia;57.24500000000000
2000;YEAR;Georgia;48.08200000000000
2000;YEAR;Azerbaijan;85.89700000000000
2001;YEAR;Georgia;44.65900000000000
2001;YEAR;Armenia;53.08500000000000
2001;YEAR;Azerbaijan;84.63400000000000
2002;YEAR;Georgia;44.71200000000000
2002;YEAR;Azerbaijan;82.57700000000000
2002;YEAR;Armenia;50.12200000000000
2003;YEAR;Georgia;44.65900000000000
2003;YEAR;Azerbaijan;81.93300000000000
2003;YEAR;Armenia;48.32200000000000
2004;YEAR;Azerbaijan;80.88900000000000
2004;YEAR;Georgia;44.12200000000000
2004;YEAR;Armenia;47.57800000000000
2005;YEAR;Georgia;44.01700000000000
2005;YEAR;Azerbaijan;81.30200000000000
2005;YEAR;Armenia;48.80500000000000
2006;YEAR;Georgia;42.54000000000000
2006;YEAR;Azerbaijan;81.32100000000000
2006;YEAR;Armenia;49.96500000000000
2007;YEAR;Armenia;50.19000000000000
2007;YEAR;Georgia;41.67200000000000
2007;YEAR;Azerbaijan;80.90800000000000
2008;YEAR;Georgia;42.04200000000000
2008;YEAR;Azerbaijan;79.99600000000000
2008;YEAR;Armenia;50.66000000000000
2009;YEAR;Armenia;50.46700000000000
2009;YEAR;Azerbaijan;79.34100000000000
2009;YEAR;Georgia;41.62900000000000
2010;YEAR;Azerbaijan;71.88400000000000
2010;YEAR;Armenia;51.16900000000000
2010;YEAR;Georgia;42.19900000000000
2011;YEAR;Georgia;42.03400000000000
2011;YEAR;Armenia;52.03800000000000
2011;YEAR;Azerbaijan;68.01300000000000
2012;YEAR;Georgia;39.76200000000000
2012;YEAR;Armenia;52.34000000000000
2012;YEAR;Azerbaijan;66.41900000000000
2013;YEAR;Armenia;51.94000000000000
2013;YEAR;Georgia;40.46200000000000
2013;YEAR;Azerbaijan;64.83500000000000
2014;YEAR;Georgia;40.84600000000000
2014;YEAR;Armenia;51.95300000000000
2014;YEAR;Azerbaijan;62.77700000000000
2015;YEAR;Azerbaijan;60.80400000000000
2015;YEAR;Armenia;50.34400000000000
2015;YEAR;Georgia;42.87100000000000
2016;YEAR;Azerbaijan;58.96200000000000
2016;YEAR;Armenia;50.49200000000000
2016;YEAR;Georgia;42.59500000000000
2017;YEAR;Azerbaijan;56.53900000000000
2017;YEAR;Armenia;50.06100000000000
2017;YEAR;Georgia;51.61300000000000
2018;YEAR;Georgia;50.18400000000000
2018;YEAR;Azerbaijan;57.31900000000000
2018;YEAR;Armenia;47.25700000000000
2019;YEAR;Armenia;48.26300000000000
2020;YEAR;Armenia;49.46300000000000
2019;YEAR;Azerbaijan;58.43400000000000
2019;YEAR;Georgia;55.28800000000000
2020;YEAR;Azerbaijan;57.19200000000000
2020;YEAR;Georgia;58.88400000000000
2021;YEAR;Georgia;58.74900000000000
2022;YEAR;Georgia;59.79900000000000
